"","V1"
"tweet212.txt",5
"tweet213.txt",4
"tweet214.txt",5
"tweet215.txt",4
"tweet216.txt",3
"tweet217.txt",3
"tweet218.txt",4
"tweet219.txt",3
"tweet22.txt",5
"tweet220.txt",2
"tweet221.txt",4
"tweet222.txt",2
"tweet223.txt",4
"tweet224.txt",4
"tweet225.txt",1
"tweet226.txt",1
"tweet227.txt",2
"tweet228.txt",3
"tweet229.txt",4
"tweet23.txt",2
"tweet230.txt",3
"tweet231.txt",5
"tweet232.txt",5
"tweet233.txt",1
"tweet234.txt",3
"tweet235.txt",4
"tweet236.txt",2
"tweet237.txt",2
"tweet238.txt",1
"tweet239.txt",3
"tweet24.txt",4
"tweet240.txt",2
"tweet241.txt",1
"tweet242.txt",1
"tweet243.txt",2
"tweet244.txt",1
"tweet245.txt",5
"tweet246.txt",2
"tweet247.txt",2
"tweet248.txt",1
"tweet249.txt",2
"tweet25.txt",2
"tweet250.txt",5
"tweet251.txt",3
"tweet252.txt",5
"tweet253.txt",2
"tweet254.txt",1
"tweet255.txt",5
"tweet256.txt",3
"tweet257.txt",3
"tweet258.txt",1
"tweet259.txt",1
"tweet26.txt",3
"tweet260.txt",1
"tweet261.txt",4
"tweet262.txt",1
"tweet263.txt",4
"tweet264.txt",5
"tweet265.txt",3
"tweet266.txt",1
"tweet267.txt",5
"tweet268.txt",1
"tweet269.txt",4
"tweet27.txt",4
"tweet270.txt",1
"tweet271.txt",2
"tweet272.txt",2
"tweet273.txt",5
"tweet274.txt",2
"tweet275.txt",1
"tweet276.txt",1
"tweet277.txt",5
"tweet278.txt",5
"tweet279.txt",1
"tweet28.txt",3
"tweet280.txt",5
"tweet281.txt",1
"tweet282.txt",4
"tweet283.txt",5
"tweet284.txt",1
"tweet285.txt",4
"tweet286.txt",3
"tweet287.txt",1
"tweet288.txt",3
"tweet289.txt",2
"tweet29.txt",1
"tweet290.txt",3
"tweet291.txt",5
"tweet292.txt",1
"tweet293.txt",3
"tweet294.txt",2
"tweet295.txt",4
"tweet296.txt",4
"tweet297.txt",2
"tweet298.txt",3
"tweet299.txt",2
"tweet3.txt",2
"tweet30.txt",1
"tweet300.txt",1
"tweet301.txt",2
"tweet302.txt",1
"tweet303.txt",1
"tweet304.txt",5
"tweet305.txt",1
"tweet306.txt",5
"tweet307.txt",1
"tweet308.txt",1
"tweet309.txt",2
"tweet31.txt",1
"tweet310.txt",4
"tweet311.txt",5
"tweet312.txt",3
"tweet313.txt",4
"tweet314.txt",2
"tweet315.txt",2
"tweet316.txt",4
"tweet317.txt",5
"tweet318.txt",5
"tweet319.txt",1
"tweet32.txt",1
"tweet320.txt",4
"tweet321.txt",3
"tweet322.txt",1
"tweet323.txt",3
"tweet324.txt",2
"tweet325.txt",4
"tweet326.txt",2
"tweet327.txt",4
"tweet328.txt",4
"tweet329.txt",2
"tweet33.txt",2
"tweet330.txt",4
"tweet331.txt",2
"tweet332.txt",4
"tweet333.txt",2
"tweet334.txt",2
"tweet335.txt",5
"tweet336.txt",1
"tweet337.txt",4
"tweet338.txt",3
"tweet339.txt",1
"tweet34.txt",3
"tweet340.txt",2
"tweet341.txt",5
"tweet342.txt",2
"tweet343.txt",1
"tweet344.txt",2
"tweet345.txt",3
"tweet346.txt",3
"tweet347.txt",3
"tweet348.txt",3
"tweet349.txt",2
"tweet35.txt",4
"tweet350.txt",3
"tweet351.txt",1
"tweet352.txt",2
"tweet353.txt",1
"tweet354.txt",4
"tweet355.txt",5
"tweet356.txt",5
"tweet357.txt",2
"tweet358.txt",2
"tweet359.txt",1
"tweet36.txt",1
"tweet360.txt",2
"tweet361.txt",3
"tweet362.txt",5
"tweet363.txt",4
"tweet364.txt",3
"tweet365.txt",5
"tweet366.txt",1
"tweet367.txt",1
"tweet368.txt",5
"tweet369.txt",4
"tweet37.txt",4
"tweet370.txt",3
"tweet371.txt",4
"tweet372.txt",5
"tweet373.txt",4
"tweet374.txt",1
"tweet375.txt",5
"tweet376.txt",5
"tweet377.txt",1
"tweet378.txt",2
"tweet379.txt",5
"tweet38.txt",5
"tweet380.txt",1
"tweet381.txt",3
"tweet382.txt",3
"tweet383.txt",4
"tweet384.txt",4
"tweet385.txt",4
"tweet386.txt",5
"tweet387.txt",1
"tweet388.txt",4
"tweet389.txt",1
"tweet39.txt",3
"tweet390.txt",1
"tweet391.txt",2
"tweet392.txt",1
"tweet393.txt",5
"tweet394.txt",3
"tweet395.txt",3
"tweet396.txt",1
